"","form","lemma"
"23242","Iohannis","Iohannes"
"23243","Iohannis","Iohannes"
"23244","iş","iş"
"23245","Fareisaieis","Fareisaius"
"23246","jah","jah"
"23247","witodafastjos","witodafasteis"
"23248","runa","runa"
"23249","runa","runa"
"23250","runa","runs"
"23251","gudis","guş"
"23252","fraqeşun","fra-qişan"
"23253","ana","ana"
"23254","ana","ana"
"23255","sik","sik"
"23256","sik","sik"
"23257","sik","sik"
"23258","ni","ni"
"23259","daupidai","daupjan"
"23260","daupidai","daupjan"
"23261","fram","fram"
"23262","fram","fram"
"23263","imma","is"
"23264","imma","is"
"23265","<U+0195>e","<U+0195>as"
"23266","<U+0195>e","<U+0195>e"
"23267","nu","nu"
"23268","nu","nu"
"23269","galeiko","galeiks"
"23270","galeiko","galeikon"
"23271","galeiko","galeiks"
"23272","galeiko","galeikon"
"23273","galeiko","galeikon"
"23274","galeiko","galeiks"
"23275","şans","sa"
"23276","mans","manna"
"23277","mans","manna"
"23278","mans","manna"
"23279","şis","sa"
"23280","şis","sa"
"23281","kunjis","kuni"
"23282","jah","jah"
"23283","<U+0195>e","<U+0195>e"
"23284","<U+0195>e","<U+0195>as"
"23285","sijaina","wisan"
"23286","galeikai","galeiks"
"23287","galeikai","galeiks"
"23288","galeikai","ga-leikan"
"23289","galeikai","ga-leikan"
"23290","galeikai","galeiks"
"23291","galeikai","ga-leikan"
"23292","galeikai","ga-leikan"
"23293","galeikai","galeiks"
"23294","sind","wisan"
"23295","barnam","barn"
"23296","şaim","sa"
"23297","şaim","sa"
"23298","şaim","sa"
"23299","in","in"
"23300","garunsai","garuns"
"23301","sitandam","sitan"
"23302","sitandam","sitan"
"23303","jah","jah"
"23304","wopjandam","wopjan"
"23305","wopjandam","wopjan"
"23306","seina","seins"
"23307","seina","Seina"
"23308","seina","sik"
"23309","seina","sik"
"23310","seina","seins"
"23311","seina","sik"
"23312","misso","misso"
"23313","jah","jah"
"23314","qişandam","qişan"
"23315","qişandam","qişan"
"23316","swiglodedum","swiglon"
"23317","izwis","şu"
"23318","izwis","şu"
"23319","jah","jah"
"23320","ni","ni"
"23321","plinsideduş","plinsjan"
"23322","gaunodedum","gaunon"
"23323","izwis","şu"
"23324","izwis","şu"
"23325","gaigrotuş","gretan"
"23326","urrann","ur-rinnan"
"23327","urrann","ur-rinnan"
"23328","raihtis","raihtis"
"23329","raihtis","raihts"
"23330","raihtis","raihts"
"23331","Iohannes","Iohannes"
"23332","Iohannes","Iohannes"
"23333","sa","sa"
"23334","daupjands","daupjan"
"23335","daupjands","daupjands"
"23336","daupjands","daupjands"
"23337","daupjands","daupjands"
"23338","nih","nih"
"23339","hlaif","hlaifs"
"23340","hlaif","hlaifs"
"23341","matjands","matjan"
"23342","nih","nih"
"23343","wein","wein"
"23344","wein","wein"
"23345","drigkands","drigkan"
"23346","jah","jah"
"23347","qişiş","qişan"
"23348","qişiş","qişan"
"23349","qişiş","qişan"
"23350","unhulşon","unhulşo"
"23351","unhulşon","unhulşo"
"23352","habaiş","haban"
"23353","habaiş","haban"
"23354","habaiş","haban"
"23355","habaiş","haban"
"23356","habaiş","haban"
"23357","habaiş","haban"
"23358","urrann","ur-rinnan"
"23359","urrann","ur-rinnan"
"23360","sunus","sunus"
"23361","mans","manna"
"23362","mans","manna"
"23363","mans","manna"
"23364","matjands","matjan"
"23365","jah","jah"
"23366","drigkands","drigkan"
"23367","jah","jah"
"23368","qişiş","qişan"
"23369","qişiş","qişan"
"23370","qişiş","qişan"
"23371","sai","sai"
"23372","manna","manna"
"23373","afetja","afetja"
"23374","jah","jah"
"23375","weindrugkja","weindrugkja"
"23376","frijonds","frijonds"
"23377","frijonds","frijon"
"23378","frijonds","frijonds"
"23379","frijonds","frijonds"
"23380","motarje","motareis"
"23381","jah","jah"
"23382","frawaurhtaize","frawaurhts"
"23383","frawaurhtaize","fra-waurkjan"
"23384","frawaurhtaize","frawaurhts"
"23385","frawaurhtaize","fra-waurkjan"
"23386","jah","jah"
"23387","gasunjoda","ga-sunjon"
"23388","gasunjoda","ga-sunjon"
"23389","gasunjoda","ga-sunjon"
"23390","gasunjoda","ga-sunjon"
"23391","gasunjoda","ga-sunjon"
"23392","gasunjoda","ga-sunjon"
"23393","gasunjoda","ga-sunjon"
"23394","gasunjoda","ga-sunjon"
"23395","gasunjoda","ga-sunjon"
"23396","warş","wairşan"
"23397","warş","wairşan"
"23398","handugei","handugei"
"23399","fram","fram"
"23400","fram","fram"
"23401","barnam","barn"
"23402","seinaim","seins"
"23403","seinaim","seins"
"23404","seinaim","seins"
"23405","allaim","alls"
"23406","allaim","alls"
"23407","allaim","alls"
"23408","baş","bidjan"
"23409","baş","bidjan"
"23410","şan","şan"
"23411","ina","is"
"23412","sums","sums"
"23413","Fareisaie","Fareisaius"
"23414","ei","ei"
"23415","matidedi","matjan"
"23416","miş","miş"
"23417","imma","is"
"23418","imma","is"
"23419","jah","jah"
"23420","atgaggands","at-gaggan"
"23421","in","in"
"23422","gard","gards"
"23423","gard","gards"
"23424","şis","sa"
"23425","şis","sa"
"23426","Fareisaiaus","Fareisaius"
"23427","anakumbida","ana-kumbjan"
"23428","anakumbida","ana-kumbjan"
"23429","anakumbida","ana-kumbjan"
"23430","anakumbida","ana-kumbjan"
"23431","anakumbida","ana-kumbjan"
"23432","anakumbida","ana-kumbjan"
"23433","anakumbida","ana-kumbjan"
"23434","şaruh","şaruh"
"23435","şaruh","şaruh"
"23436","sai","sai"
"23437","qino","qino"
"23438","in","in"
"23439","şizai","sa"
"23440","baurg","baurgs"
"23441","baurg","baurgs"
"23442","sei","izei"
"23443","was","wisan"
"23444","was","wisan"
"23445","was","wisan"
"23446","was","wisan"
"23447","was","wisan"
"23448","was","wisan"
"23449","frawaurhta","fra-waurkjan"
"23450","frawaurhta","fra-waurkjan"
"23451","frawaurhta","fra-waurkjan"
"23452","frawaurhta","fra-waurkjan"
"23453","frawaurhta","frawaurhts"
"23454","frawaurhta","frawaurhts"
"23455","frawaurhta","frawaurhts"
"23456","frawaurhta","frawaurhts"
"23457","frawaurhta","frawaurhts"
"23458","frawaurhta","fra-waurkjan"
"23459","frawaurhta","fra-waurkjan"
"23460","frawaurhta","fra-waurkjan"
"23461","jah","jah"
"23462","ufkunnandei","uf-kunnan"
"23463","şatei","saei"
"23464","şatei","saei"
"23465","şatei","şatei"
"23466","anakumbida","ana-kumbjan"
"23467","anakumbida","ana-kumbjan"
"23468","anakumbida","ana-kumbjan"
"23469","anakumbida","ana-kumbjan"
"23470","anakumbida","ana-kumbjan"
"23471","anakumbida","ana-kumbjan"
"23472","anakumbida","ana-kumbjan"
"23473","in","in"
"23474","razna","razn"
"23475","razna","razn"
"23476","razna","razn"
"23477","şis","sa"
"23478","şis","sa"
"23479","Fareisaiaus","Fareisaius"
"23480","briggandei","briggan"
"23481","alabalstraun","alabalstraun"
"23482","balsanis","balsan"
"23483","jah","jah"
"23484","standandei","standan"
"23485","faura","faura"
"23486","faura","faura"
"23487","fotum","fotus"
"23488","is","wisan"
"23489","is","is"
"23490","is","is"
"23491","is","is"
"23492","aftaro","aftaro"
"23493","dugann","du-ginnan"
"23494","dugann","du-ginnan"
"23495","natjan","natjan"
"23496","fotuns","fotus"
"23497","is","is"
"23498","is","is"
"23499","is","is"
"23500","is","wisan"
"23501","tagram","tagr"
"23502","jah","jah"
"23503","skufta","skufta"
"23504","haubidis","haubiş"
"23505","seinis","seins"
"23506","seinis","seins"
"23507","biswarb","bi-swairban"
"23508","biswarb","bi-swairban"
"23509","jah","jah"
"23510","kukida","kukjan"
"23511","kukida","kukjan"
"23512","kukida","kukjan"
"23513","kukida","kukjan"
"23514","kukida","kukjan"
"23515","kukida","kukjan"
"23516","kukida","kukjan"
"23517","fotum","fotus"
"23518","is","is"
"23519","is","is"
"23520","is","is"
"23521","is","wisan"
"23522","jah","jah"
"23523","gasalboda","ga-salbon"
"23524","gasalboda","ga-salbon"
"23525","gasalboda","ga-salbon"
"23526","gasalboda","ga-salbon"
"23527","gasalboda","ga-salbon"
"23528","gasalboda","ga-salbon"
"23529","gasalboda","ga-salbon"
"23530","gasalboda","ga-salbon"
"23531","gasalboda","ga-salbon"
"23532","şamma","sa"
"23533","şamma","sa"
"23534","balsana","balsan"
"23535","balsana","balsan"
"23536","balsana","balsan"
"23537","gasai<U+0195>ands","ga-sai<U+0195>an"
"23538","şan","şan"
"23539","sa","sa"
"23540","Fareisaius","Fareisaius"
"23541","saei","saei"
"23542","haihait","haitan"
"23543","haihait","haitan"
"23544","ina","is"
"23545","rodida","rodjan"
"23546","rodida","rodjan"
"23547","rodida","rodjan"
"23548","rodida","rodjan"
"23549","rodida","rodjan"
"23550","rodida","rodjan"
"23551","rodida","rodjan"
"23552","sis","sik"
"23553","sis","sik"
"23554","sis","sik"
"23555","ains","ains"
"23556","qişands","qişan"
"23557","sa","sa"
"23558","iş","iş"
"23559","wesi","wisan"
"23560","wesi","wisan"
"23561","wesi","wisan"
"23562","praufetus","praufetes"
"23563","praufetus","praufetes"
"23564","ufkunşedi","uf-kunnan"
"23565","şau","şau"
"23566","<U+0195>o","<U+0195>as"
"23567","<U+0195>o","<U+0195>as"
"23568","jah","jah"
"23569","<U+0195>ileika","<U+0195>ileiks"
"23570","<U+0195>ileika","<U+0195>ileiks"
"23571","<U+0195>ileika","<U+0195>ileiks"
"23572","<U+0195>ileika","<U+0195>ileiks"
"23573","so","sa"
"23574","qino","qino"
"23575","sei","izei"
"23576","tekiş","tekan"
"23577","tekiş","tekan"
"23578","tekiş","tekan"
"23579","imma","is"
"23580","imma","is"
"23581","şatei","saei"
"23582","şatei","şatei"
"23583","şatei","saei"
"23584","frawaurhta","fra-waurkjan"
"23585","frawaurhta","frawaurhts"
"23586","frawaurhta","fra-waurkjan"
"23587","frawaurhta","frawaurhts"
"23588","frawaurhta","fra-waurkjan"
"23589","frawaurhta","fra-waurkjan"
"23590","frawaurhta","fra-waurkjan"
"23591","frawaurhta","fra-waurkjan"
"23592","frawaurhta","frawaurhts"
"23593","frawaurhta","frawaurhts"
"23594","frawaurhta","frawaurhts"
"23595","frawaurhta","fra-waurkjan"
"23596","ist","wisan"
"23597","jah","jah"
"23598","andhafjands","and-hafjan"
"23599","Iesus","Iesus"
"23600","qaş","qişan"
"23601","qaş","qişan"
"23602","du","du"
"23603","du","du"
"23604","du","du"
"23605","Paitrau","Paitrus"
"23606","Seimon","Seimon"
"23607","Seimon","Seimon"
"23608","Seimon","Seimon"
"23609","skal","skulan"
"23610","skal","skulan"
"23611","şus","şu"
"23612","<U+0195>a","<U+0195>as"
"23613","<U+0195>a","<U+0195>as"
"23614","qişan","qişan"
"23615","qişan","qişan"
"23616","qişan","qişan"
"23617","iş","iş"
"23618","is","is"
"23619","is","is"
"23620","is","is"
"23621","is","wisan"
"23622","qaş","qişan"
"23623","qaş","qişan"
"23624","laisari","laisareis"
"23625","laisari","laisareis"
"23626","qiş","qişan"
"23627","twai","twai"
"23628","dulgis","dulgis"
"23629","skulans","skula"
"23630","skulans","skula"
"23631","wesun","wisan"
"23632","wesun","wisan"
"23633","wesun","wisan"
"23634","dulgahaitjin","dulgahaitja"
"23635","sumamma","sums"
"23636","sumamma","sums"
"23637","ains","ains"
"23638","skulda","skulan"
"23639","skulda","skulan"
"23640","skulda","skulan"
"23641","skulda","skulan"
"23642","skulda","skulan"
"23643","skulda","skulan"
"23644","skulda","skulan"
"23645","skatte","skatts"
"23646","fimf","fimf"
"23647","hunda","hunds"
"23648","hunda","hunda"
"23649","hunda","hunda"
"23650","iş","iş"
"23651","anşar","anşar"
"23652","anşar","anşar"
"23653","anşar","anşar"
"23654","fimf","fimf"
"23655","tiguns","tigjus"
"23656","ni","ni"
"23657","habandam","haban"
"23658","habandam","haban"
"23659","şan","şan"
"23660","şan","şan"
"23661","şan","şan"
"23662","im","is"
"23663","im","is"
"23664","im","is"
"23665","<U+0195>aşro","<U+0195>aşro"
"23666","usgebeina","us-giban"
"23667","baim","bai"
"23668","fragaf","fra-giban"
"23669","fragaf","fra-giban"
"23670","<U+0195>aşar","<U+0195>aşar"
"23671","<U+0195>aşar","<U+0195>aşar"
"23672","<U+0195>aşar","<U+0195>aşar"
"23673","nu","nu"
"23674","nu","nu"
"23675","şize","sa"
"23676","şize","sa"
"23677","qiş","qişan"
"23678","mais","mais"
"23679","ina","is"
"23680","andhafjands","and-hafjan"
"23681","şan","şan"
"23682","şan","şan"
"23683","şan","şan"
"23684","Seimon","Seimon"
"23685","Seimon","Seimon"
"23686","Seimon","Seimon"
"23687","qaş","qişan"
"23688","qaş","qişan"
"23689","şana","sa"
"23690","gawenja","ga-wenjan"
"23691","şammei","saei"
"23692","şammei","saei"
"23693","managizo","manags"
"23694","managizo","manags"
"23695","fragaf","fra-giban"
"23696","fragaf","fra-giban"
"23697","şaruh","şaruh"
"23698","şaruh","şaruh"
"23699","is","is"
"23700","is","is"
"23701","is","wisan"
"23702","is","is"
"23703","qaş","qişan"
"23704","qaş","qişan"
"23705","du","du"
"23706","du","du"
"23707","du","du"
"23708","imma","is"
"23709","imma","is"
"23710","raihtaba","raihts"
"23711","stauides","stojan"
"23712","jah","jah"
"23713","gawandjands","ga-wandjan"
"23714","sik","sik"
"23715","sik","sik"
"23716","sik","sik"
"23717","du","du"
"23718","du","du"
"23719","du","du"
"23720","şizai","sa"
"23721","qinon","qino"
"23722","qinon","qino"
"23723","qaş","qişan"
"23724","qaş","qişan"
"23725","du","du"
"23726","du","du"
"23727","du","du"
"23728","Seimona","Seimon"
"23729","Seimona","Seimon"
"23730","gasai<U+0195>is","ga-sai<U+0195>an"
"23731","şo","sa"
"23732","şo","sa"
"23733","şo","sa"
"23734","qinon","qino"
"23735","qinon","qino"
"23736","atgaggandin","at-gaggan"
"23737","atgaggandin","at-gaggan"
"23738","in","in"
"23739","gard","gards"
"23740","gard","gards"
"23741","şeinana","şeins"
"23742","wato","wato"
"23743","wato","wato"
"23744","mis","ik"
"23745","ana","ana"
"23746","ana","ana"
"23747","fotuns","fotus"
"23748","meinans","meins"
"23749","ni","ni"
"23750","gaft","giban"
"23751","iş","iş"
"23752","si","is"
"23753","tagram","tagr"
"23754","seinaim","seins"
"23755","seinaim","seins"
"23756","seinaim","seins"
"23757","ganatida","ga-natjan"
"23758","ganatida","ga-natjan"
"23759","ganatida","ga-natjan"
"23760","ganatida","ga-natjan"
"23761","ganatida","ga-natjan"
"23762","ganatida","ga-natjan"
"23763","ganatida","ga-natjan"
"23764","meinans","meins"
"23765","fotuns","fotus"
"23766","jah","jah"
"23767","skufta","skufta"
"23768","seinamma","seins"
"23769","seinamma","seins"
"23770","biswarb","bi-swairban"
"23771","biswarb","bi-swairban"
"23772","ni","ni"
"23773","kukides","kukjan"
"23774","mis","ik"
"23775","iş","iş"
"23776","si","is"
"23777","fram","fram"
"23778","fram","fram"
"23779","şammei","saei"
"23780","şammei","saei"
"23781","innatiddja","inn-atgaggan"
"23782","innatiddja","inn-atgaggan"
"23783","ni","ni"
"23784","swaif","sweiban"
"23785","swaif","sweiban"
"23786","bikukjan","bi-kukjan"
"23787","fotuns","fotus"
"23788","meinans","meins"
"23789","alewa","alew"
"23790","alewa","alew"
"23791","alewa","alew"
"23792","meinata","meins"
"23793","meinata","meins"
"23794","ni","ni"
"23795","salbodes","salbon"
"23796","iş","iş"
"23797","si","is"
"23798","balsana","balsan"
"23799","balsana","balsan"
"23800","balsana","balsan"
"23801","gasalboda","ga-salbon"
"23802","gasalboda","ga-salbon"
"23803","gasalboda","ga-salbon"
"23804","gasalboda","ga-salbon"
"23805","gasalboda","ga-salbon"
"23806","gasalboda","ga-salbon"
"23807","gasalboda","ga-salbon"
"23808","gasalboda","ga-salbon"
"23809","gasalboda","ga-salbon"
"23810","fotuns","fotus"
"23811","meinans","meins"
"23812","in","in"
"23813","şizei","saei"
"23814","şizei","saei"
"23815","qişa","qişan"
"23816","şus","şu"
"23817","afletanda","af-letan"
"23818","afletanda","af-letan"
"23819","afletanda","af-letan"
"23820","afletanda","af-letan"
"23821","frawaurhteis","frawaurhts"
"23822","izos","is"
"23823","şos","sa"
"23824","şos","sa"
"23825","managons","manags"
"23826","managons","manags"
"23827","managons","manags"
"23828","unte","unte"
"23829","frijoda","frijon"
"23830","frijoda","frijon"
"23831","frijoda","frijon"
"23832","frijoda","frijon"
"23833","frijoda","frijon"
"23834","frijoda","frijon"
"23835","frijoda","frijon"
"23836","frijoda","frijon"
"23837","frijoda","frijon"
"23838","filu","filu"
"23839","iş","iş"
"23840","şammei","saei"
"23841","şammei","saei"
"23842","leitil","leitils"
"23843","leitil","leitils"
"23844","fraletada","fra-letan"
"23845","fraletada","fra-letan"
"23846","leitil","leitils"
"23847","leitil","leitils"
"23848","şan","şan"
"23849","du","du"
"23850","du","du"
"23851","du","du"
"23852","izai","is"
"23853","afletanda","af-letan"
"23854","afletanda","af-letan"
"23855","afletanda","af-letan"
"23856","afletanda","af-letan"
"23857","şus","şu"
"23858","frawaurhteis","frawaurhts"
"23859","şeinos","şeins"
"23860","şeinos","şeins"
"23861","jah","jah"
"23862","dugunnun","du-ginnan"
"23863","şai","sa"
"23864","qişan","qişan"
"23865","qişan","qişan"
"23866","qişan","qişan"
"23867","in","in"
"23868","sis","sik"
"23869","sis","sik"
"23870","sis","sik"
"23871","silbam","silba"
"23872","silbam","silba"
"23873","<U+0195>as","<U+0195>as"
"23874","sa","sa"
"23875","ist","wisan"
"23876","saei","saei"
"23877","jah","jah"
"23878","frawaurhtins","frawaurhts"
"23879","frawaurhtins","fra-waurkjan"
"23880","frawaurhtins","fra-waurkjan"
"23881","frawaurhtins","frawaurhts"
"23882","frawaurhtins","frawaurhts"
"23883","afletai","af-letan"
"23884","iş","iş"
"23885","is","is"
"23886","is","is"
"23887","is","is"
"23888","is","wisan"
"23889","qaş","qişan"
"23890","qaş","qişan"
"23891","şan","şan"
"23892","du","du"
"23893","du","du"
"23894","du","du"
"23895","şizai","sa"
"23896","qinon","qino"
"23897","qinon","qino"
"23898","galaubeins","galaubeins"
"23899","galaubeins","galaubeins"
"23900","şeina","şeins"
"23901","şeina","şeins"
"23902","şeina","şeins"
"23903","şeina","şeins"
"23904","şeina","şu"
"23905","ganasida","ga-nasjan"
"23906","ganasida","ga-nasjan"
"23907","ganasida","ga-nasjan"
"23908","ganasida","ga-nasjan"
"23909","ganasida","ga-nasjan"
"23910","ganasida","ga-nasjan"
"23911","ganasida","ga-nasjan"
"23912","şuk","şu"
"23913","gagg","gaggan"
"23914","gagg","gagg"
"23915","gagg","gagg"
"23916","in","in"
"23917","gawairşi","gawairşi"
"23918","gawairşi","gawairşi"
"23919","jah","jah"
"23920","warş","wairşan"
"23921","warş","wairşan"
"23922","bişe","bişe"
"23923","afar","afar"
"23924","şata","sa"
"23925","şata","sa"
"23926","ei","ei"
"23927","jah","jah"
"23928","is","is"
"23929","is","is"
"23930","is","wisan"
"23931","is","is"
"23932","wratoda","wraton"
"23933","wratoda","wraton"
"23934","wratoda","wraton"
"23935","wratoda","wraton"
"23936","wratoda","wraton"
"23937","wratoda","wraton"
"23938","wratoda","wraton"
"23939","wratoda","wraton"
"23940","wratoda","wraton"
"23941","and","and"
"23942","baurgs","baurgs"
"23943","baurgs","baurgs"
"23944","baurgs","baurgs"
"23945","baurgs","baurgs"
"23946","jah","jah"
"23947","haimos","haims"
"23948","haimos","haims"
"23949","merjands","merjands"
"23950","merjands","merjands"
"23951","merjands","merjands"
"23952","merjands","merjan"
"23953","jah","jah"
"23954","wailaspillonds","waila-spillon"
"23955","şiudangardja","şiudangardi"
"23956","gudis","guş"
"23957","jah","jah"
"23958","şai","sa"
"23959","miş","miş"
"23960","imma","is"
"23961","imma","is"
"23962","jah","jah"
"23963","qinons","qino"
"23964","qinons","qino"
"23965","qinons","qino"
"23966","şozei","saei"
"23967","şozei","saei"
"23968","wesun","wisan"
"23969","wesun","wisan"
"23970","wesun","wisan"
"23971","galeikinodos","ga-leikinon"
"23972","galeikinodos","ga-leikinon"
"23973","ahmane","ahma"
"23974","ubilaize","ubils"
"23975","ubilaize","ubils"
"23976","jah","jah"
"23977","sauhte","sauhts"
"23978","jah","jah"
"23979","Marja","Marja"
"23980","sei","izei"
"23981","haitana","haitan"
"23982","haitana","haitan"
"23983","haitana","haitan"
"23984","haitana","haitan"
"23985","haitana","haitan"
"23986","was","wisan"
"23987","was","wisan"
"23988","was","wisan"
"23989","was","wisan"
"23990","was","wisan"
"23991","was","wisan"
"23992","Magdalene","Magdalene"
"23993","Magdalene","Magdalene"
"23994","us","us"
"23995","şizaiei","saei"
"23996","usiddjedun","us-gaggan"
"23997","unhulşons","unhulşo"
"23998","unhulşons","unhulşo"
"23999","unhulşons","unhulşo"
"24000","sibun","sibun"
"24001","jah","jah"
"24002","Iohanna","Iohanna"
"24003","Iohanna","Iohanna"
"24004","qens","qens"
"24005","Kusins","Kusa"
"24006","fauragaggjins","fauragaggja"
"24007","Herodes","Herodes"
"24008","Herodes","Herodes"
"24009","jah","jah"
"24010","Susanna","Susanna"
"24011","jah","jah"
"24012","anşaros","anşar"
"24013","anşaros","anşar"
"24014","managos","manags"
"24015","managos","manags"
"24016","şozei","saei"
"24017","şozei","saei"
"24018","im","is"
"24019","im","is"
"24020","im","is"
"24021","us","us"
"24022","aiginam","aigin"
"24023","seinaim","seins"
"24024","seinaim","seins"
"24025","seinaim","seins"
"24026","gaqumanaim","ga-qiman"
"24027","gaqumanaim","ga-qiman"
"24028","gaqumanaim","ga-qiman"
"24029","şan","şan"
"24030","şan","şan"
"24031","managaim","manags"
"24032","managaim","manags"
"24033","managaim","manags"
"24034","jah","jah"
"24035","şaim","sa"
"24036","şaim","sa"
"24037","şaim","sa"
"24038","şaiei","saei"
"24039","us","us"
"24040","baurgim","baurgs"
"24041","du","du"
"24042","du","du"
"24043","du","du"
"24044","imma","is"
"24045","imma","is"
"24046","qaş","qişan"
"24047","qaş","qişan"
"24048","şairh","şairh"
"24049","gajukon","gajuko"
"24050","gajukon","gajuko"
"24051","urrann","ur-rinnan"
"24052","urrann","ur-rinnan"
"24053","saiands","saian"
"24054","du","du"
"24055","du","du"
"24056","du","du"
"24057","saian","saian"
"24058","saian","saian"
"24059","saian","saian"
"24060","fraiwa","fraiw"
"24061","fraiwa","fraiw"
"24062","fraiwa","fraiw"
"24063","seinamma","seins"
"24064","seinamma","seins"
"24065","jah","jah"
"24066","mişşanei","mişşanei"
"24067","saiso","saian"
"24068","saiso","saian"
"24069","sum","sums"
"24070","sum","sums"
"24071","gadraus","ga-driusan"
"24072","gadraus","ga-driusan"
"24073","faur","faur"
"24074","faur","faur"
"24075","wig","wigs"
"24076","wig","wigs"
"24077","jah","jah"
"24078","gatrudan","ga-trudan"
"24079","gatrudan","ga-trudan"
"24080","gatrudan","ga-trudan"
"24081","warş","wairşan"
"24082","warş","wairşan"
"24083","jah","jah"
"24084","fuglos","fugls"
"24085","himinis","himins"
"24086","fretun","fra-ïtan"
"24087","şata","sa"
"24088","şata","sa"
"24089","jah","jah"
"24090","anşar","anşar"
"24091","anşar","anşar"
"24092","anşar","anşar"
"24093","gadraus","ga-driusan"
"24094","gadraus","ga-driusan"
"24095","ana","ana"
"24096","ana","ana"
"24097","staina","stains"
"24098","jah","jah"
"24099","gaşaursnoda","ga-şaursnan"
"24100","gaşaursnoda","ga-şaursnan"
"24101","in","in"
"24102","şizei","saei"
"24103","şizei","saei"
"24104","ni","ni"
"24105","habaida","haban"
"24106","habaida","haban"
"24107","habaida","haban"
"24108","habaida","haban"
"24109","habaida","haban"
"24110","habaida","haban"
"24111","habaida","haban"
"24112","qrammişa","qrammişa"
"24113","qrammişa","qrammişa"
"24114","jah","jah"
"24115","sum","sums"
"24116","sum","sums"
"24117","gadraus","ga-driusan"
"24118","gadraus","ga-driusan"
"24119","in","in"
"24120","midumai","miduma"
"24121","şaurniwe","şaurnus"
"24122","jah","jah"
"24123","mişuskeinandans","miş-uskeinan"
"24124","mişuskeinandans","miş-uskeinan"
"24125","şai","sa"
"24126","şaurnjus","şaurnus"
"24127","af<U+0195>apidedun","af-<U+0195>apjan"
"24128","şata","sa"
"24129","şata","sa"
"24130","jah","jah"
"24131","anşar","anşar"
"24132","anşar","anşar"
"24133","anşar","anşar"
"24134","gadraus","ga-driusan"
"24135","gadraus","ga-driusan"
"24136","ana","ana"
"24137","ana","ana"
"24138","airşai","airşa"
"24139","godai","goşs"
"24140","godai","goşs"
"24141","jah","jah"
"24142","jah","jah"
"24143","tawida","taujan"
"24144","tawida","taujan"
"24145","tawida","taujan"
"24146","tawida","taujan"
"24147","tawida","taujan"
"24148","tawida","taujan"
"24149","tawida","taujan"
"24150","akran","akran"
"24151","akran","akran"
"24152","taihuntaihundfalş","taihuntaihundfalşs"
"24153","taihuntaihundfalş","taihuntaihundfalşs"
"24154","şata","sa"
"24155","şata","sa"
"24156","şan","şan"
"24157","şan","şan"
"24158","şan","şan"
"24159","qişands","qişan"
"24160","ufwopida","uf-wopjan"
"24161","ufwopida","uf-wopjan"
"24162","ufwopida","uf-wopjan"
"24163","ufwopida","uf-wopjan"
"24164","ufwopida","uf-wopjan"
"24165","ufwopida","uf-wopjan"
"24166","ufwopida","uf-wopjan"
"24167","saei","saei"
"24168","habai","haban"
"24169","habai","haban"
"24170","ausona","auso"
"24171","ausona","auso"
"24172","du","du"
"24173","du","du"
"24174","du","du"
"24175","hausjan","hausjan"
"24176","gahausjai","ga-hausjan"
"24177","frehun","fraihnan"
"24178","şan","şan"
"24179","ina","is"
"24180","siponjos","siponeis"
"24181","is","is"
"24182","is","is"
"24183","is","wisan"
"24184","is","is"
"24185","qişandans","qişan"
"24186","qişandans","qişan"
"24187","<U+0195>a","<U+0195>as"
"24188","<U+0195>a","<U+0195>as"
"24189","sijai","wisan"
"24190","so","sa"
"24191","gajuko","gajuko"
"24192","iş","iş"
"24193","is","is"
"24194","is","is"
"24195","is","wisan"
"24196","is","is"
"24197","qaş","qişan"
"24198","qaş","qişan"
"24199","izwis","şu"
"24200","izwis","şu"
"24201","atgiban","at-giban"
"24202","atgiban","at-giban"
"24203","atgiban","at-giban"
"24204","ist","wisan"
"24205","kunnan","-kunnan"
"24206","kunnan","kunnan"
"24207","runos","runa"
"24208","runos","runa"
"24209","runos","runa"
"24210","şiudinassaus","şiudinassus"
"24211","gudis","guş"
"24212","iş","iş"
"24213","şaim","sa"
"24214","şaim","sa"
"24215","şaim","sa"
"24216","anşaraim","anşar"
"24217","anşaraim","anşar"
"24218","anşaraim","anşar"
"24219","in","in"
"24220","gajukom","gajuko"
"24221","ei","ei"
"24222","sai<U+0195>andans","sai<U+0195>an"
"24223","sai<U+0195>andans","sai<U+0195>an"
"24224","ni","ni"
"24225","gasai<U+0195>aina","ga-sai<U+0195>an"
"24226","jah","jah"
"24227","gahausjandans","ga-hausjan"
"24228","gahausjandans","ga-hausjan"
"24229","ni","ni"
"24230","fraşjaina","fraşjan"
"24231","aşşan","aşşan"
"24232","şata","sa"
"24233","şata","sa"
"24234","ist","wisan"
"24235","so","sa"
"24236","gajuko","gajuko"
"24237","şata","sa"
"24238","şata","sa"
"24239","fraiw","fraiw"
"24240","fraiw","fraiw"
"24241","ist","wisan"
"24242","waurd","waurd"
"24243","waurd","waurd"
"24244","gudis","guş"
"24245","iş","iş"
"24246","şai","sa"
"24247","wişra","wişra"
"24248","wig","wigs"
"24249","wig","wigs"
"24250","sind","wisan"
"24251","şai","sa"
"24252","hausjandans","hausjan"
"24253","hausjandans","hausjan"
"24254","şaşroh","şaşroh"
"24255","qimiş","qiman"
"24256","qimiş","qiman"
"24257","qimiş","qiman"
"24258","diabulus","diabaulus"
"24259","jah","jah"
"24260","usnimiş","us-niman"
